"Reference","Review title","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25","P26","P27"
110,"Landisch",0,1,0,0,0,1,0,0,NA,0,0,1,0,1,1,0,1,1,0,1,1,1,0,NA,NA,0,NA,1,1,0,NA,NA,0,NA,1,1,1,0
111,"Lane",0,0,0,0,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,0,0,0,0,NA,0,NA,0,0,0,0
112,"Lansdale",0,1,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,NA,NA,1,1,1,1
113,"Lee",0,0,0,0,0,0,1,1,NA,0,0,1,0,1,1,0,0,0,0,1,0,0,0,NA,NA,0,NA,0,0,0,NA,NA,0,NA,1,0,1,0
115,"Liang",0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,0,0,1,0
116,"Lishuang",0,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,1,0,1,0
117,"Livingston",1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1
118,"Mauritz",0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0
119,"Mauritz2",0,1,0,0,0,1,1,1,NA,1,0,1,0,1,1,0,1,1,1,1,1,1,1,NA,NA,1,NA,1,1,1,NA,NA,1,NA,1,0,1,0
120,"Mei",0,1,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,NA,1,1,0,1,1,1,NA,1,0,1,1
121,"Mullassery",1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,NA,1,1,0,1,1,1,NA,1,1,1,0
122,"Nagler",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
123,"Narayanan",0,1,1,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,NA,0,1,0,1,1,0,NA,1,0,1,0
125,"Nasr",0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
124,"Nasr2",0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,1,0
126,"Nataraja",0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0
127,"Nicolau",0,0,0,0,0,0,1,1,NA,0,1,1,0,1,1,0,1,0,0,1,0,1,0,NA,NA,0,NA,0,0,0,NA,NA,0,NA,1,0,1,0
129,"Oomen",0,1,1,0,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,1,0
131,"Parolini",0,1,0,0,0,1,1,1,NA,0,1,1,0,1,1,0,1,0,0,1,1,1,0,NA,NA,0,NA,1,1,0,NA,NA,0,NA,1,1,1,1
132,"Peters",0,0,1,1,0,1,0,0,NA,0,1,1,0,1,1,0,0,0,0,1,0,0,0,NA,NA,0,NA,0,0,0,NA,NA,0,NA,1,0,1,0
133,"Peycelon",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,NA,0,NA,0,0,0,0
134,"Pfitsermuller",0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,0,NA,NA,0,1,0,0,0,0,0,0,1,1,1,1,0
135,"Puligandla",0,0,1,0,0,1,1,1,NA,0,0,1,0,1,1,0,1,0,1,1,0,1,1,1,NA,1,NA,1,1,1,1,NA,1,NA,1,1,1,0
136,"Reddy",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,NA,0,NA,0,0,0,0,NA,0,NA,0,0,1,1
137,"Romao",0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,1,NA,1,NA,1,1,0,1,1,0,NA,1,1,1,0
138,"Ross",0,1,1,0,0,1,1,1,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,NA,1,1,0,1,1,0,NA,1,1,1,0
139,"Ruttenstock",0,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
140,"Rynja",0,0,0,0,0,0,0,0,NA,0,0,1,0,1,1,0,1,0,1,1,0,0,0,NA,NA,0,NA,1,1,0,NA,NA,0,NA,1,0,1,0
141,"Saldana",0,0,0,0,0,1,1,1,NA,0,0,1,0,1,1,0,1,1,1,1,0,1,0,NA,NA,0,NA,1,0,0,NA,0,0,0,1,1,1,0
142,"Sauerland",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
146,"Shawyer",0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0
145,"Shawyer2",0,1,0,0,0,1,1,1,NA,1,0,1,0,1,1,0,1,0,0,1,1,1,1,NA,NA,1,0,1,1,1,NA,NA,0,NA,1,1,1,0
147,"Shen",0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0
148,"Siddiqui",0,1,0,0,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0
149,"Siminas",0,0,1,0,0,1,1,1,NA,0,1,1,1,1,1,0,1,0,1,1,0,1,1,NA,NA,0,NA,1,1,1,NA,NA,0,NA,1,1,1,0
151,"Sola",0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0
154,"Terui",0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0
155,"Thomson",1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1
156,"Thyoka",0,0,0,0,0,1,0,0,NA,0,1,1,0,1,1,0,1,0,0,1,1,1,0,NA,NA,0,NA,1,1,0,NA,NA,0,NA,1,1,1,0
160,"Vernon",1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,NA,1,NA,1,1,1,1
159,"Van den Hondel",0,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,NA,0,NA,1,1,0,1,NA,0,NA,0,0,1,0
161,"Wang",0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
162,"Wayne",1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,1,NA,1,1,1,0
163,"Weih",0,0,0,0,0,0,0,0,NA,0,0,1,0,1,1,0,0,0,0,1,0,0,0,NA,NA,0,NA,0,0,0,NA,NA,0,NA,1,0,1,0
164,"Wenk",0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0
165,"Wilkinson",0,0,0,0,0,1,0,0,NA,0,1,1,0,0,1,0,1,0,1,1,0,1,0,NA,NA,0,NA,1,1,0,NA,NA,0,NA,1,1,1,1
166,"Wright",0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0
168,"Yang",0,1,0,0,0,1,0,0,NA,0,0,1,0,1,1,0,1,1,0,1,1,1,0,NA,NA,0,NA,1,1,0,NA,NA,0,NA,1,1,1,0
167,"Yang2",0,1,1,0,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1
170,"Zani",0,0,0,0,0,1,0,0,NA,0,1,0,0,1,1,0,1,0,0,1,0,1,0,NA,NA,0,NA,0,1,0,NA,NA,0,NA,1,0,1,0
171,"Zhao",0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,1,0
